user_id,event_id
1059,2133323
1066,2133607
1066,2133385
1066,2133413
1066,2133332
1066,2133348
1059,2133641
1044,2133476
1059,2133487
1058,2133402
1058,2133696
1058,2133704
1058,2133671
1096,2133710
1113,2133714
1129,2133566
1134,2133771
1153,2133796
1102,2133536
1137,2133851
1102,2133563
1146,2133925
1116,2133940
1118,2133951
1142,2133497
1135,2133385
1096,2133593
1137,2134029
1096,2133607
1134,2133607
1112,2134053
2222,2137551
2270,2136464
2280,2136944
2292,2137611
2242,2137624
2235,2136588
2244,2137685
2249,2136633
2263,2136535
2235,2136630
2280,2137715
2279,2136463
2278,2137741
2221,2137754
2591,2138580
2639,2138653
2643,2138668
2639,2138674
2640,2138678
2645,2138686
2694,2138714
2696,2138713
2665,2138738
2742,2138749
2743,2138755
2665,2138785
2725,2138787
2735,2138805
2683,2138816
2701,2138822
2693,2138830
2701,2138842
2693,2138870
2746,2138875
2779,2138897
2806,2138938
2831,2138932
2832,2138948
2807,2138956
2745,2138509
2787,2138978
2774,2138988
2760,2139002
2745,2139010
2752,2138548
2752,2139026
2752,2139030
2752,2139036
2750,2139040
2750,2138481
2750,2139056
2750,2139066
2750,2139076
2750,2139086
2750,2139096
2750,2139106
2750,2139116
2750,2139126
2750,2139136
2750,2138564
2750,2138568
2861,2139171
2858,2139183
2926,2139191
2849,2135588
2944,2139220
3083,2139534
3048,2136147
3059,2139525
3080,2139597
3096,2139625
3092,2139633
3089,2139526
3041,2139653
3051,2139658
3101,2139657
3059,2139680
3053,2139696
3077,2139739
3048,2136183
3108,2139748
3099,2139777
3054,2135768
3064,2139820
3099,2139835
3051,2139840
3089,2139850
3099,2139858
3099,2139864
3099,2139869
3120,2139871
3127,2139885
3159,2139893
3166,2139902
3140,2139899
3188,2139925
3140,2139959
3186,2139963
3164,2139978
3153,2139985
3163,2139954
3135,2140004
3138,2140012
3188,2140019
3183,2140022
3164,2140034
3138,2140068
3180,2140078
3135,2140081
3173,2140110
3166,2140124
3140,2140130
3171,2140132
3183,2140003
3397,2141189
3447,2141209
3472,2141217
3397,2141248
3447,2141268
3440,2141330
3439,2141389
3466,2141402
3419,2141414
3674,2142634
3674,2142659
3674,2142664
3761,2141517
3789,2142689
3823,2142699
3806,2142691
3762,2142724
3770,2142736
3829,2142746
3772,2142744
3830,2142762
3806,2142771
3831,2142752
3827,2142767
3787,2142819
3796,2142824
3831,2142853
3823,2142861
3831,2142873
3796,2142898
4104,2143763
4054,2143790
4127,2143795
4043,2143805
4038,2143810
4039,2143865
4067,2143867
4039,2143885
4049,2143911
4081,2143921
4067,2143938
4082,2143940
4081,2143951
4499,2144840
4503,2144856
4471,2144700
4547,2144879
4521,2144918
4551,2144922
4550,2144927
4521,2144957
4547,2144963
4534,2144956
4529,2144994
4529,2145009
4519,2145021
4521,2145037
4992,2145875
5012,2145902
5004,2145910
5000,2143415
5031,2135581
4978,2136469
4978,2136538
5031,2145985
5031,2135642
4976,2145296
4979,2136175
4976,2145351
1032,2133464
1078,2133466
1006,2133489
1058,2133484
1047,2133503
1086,2133374
1040,2133544
1023,2133559
1064,2133575
1066,2133593
1058,2133610
1058,2133617
1058,2133634
1059,2133374
1044,2133385
1044,2133413
1058,2133676
1066,2133552
1090,2133680
2242,2137556
2288,2137563
2269,2137566
2242,2137594
2257,2137602
2263,2136501
2280,2136970
2229,2137625
2270,2136540
2232,2136783
2278,2136827
2227,2137669
2287,2137549
2263,2136642
2257,2137739
2279,2137630
2248,2136804
2269,2133811
2285,2136707
2244,2137792
