id,name,year
13229,Медиатекст в массовых коммуникациях,2021
14061,Международная журналистика,2022
13183,Международная журналистика,2021
14153,Научно-популярная журналистика,2022
14002,Профессиональная речевая деятельность в массмедиа,2022
13136,Профессиональная речевая деятельность в массмедиа,2021
14127,Управление коммуникационными проектами в политике и бизнесе,2022
13239,Управление коммуникационными проектами в политике и бизнесе,2021
12921,Журналистика,2021
12001,Журналистика,2020
12940,Реклама и связи с общественностью,2021
12022,Реклама и связи с общественностью,2020
14865,Переводчик в сфере профессиональной коммуникации,2022
12456,Переводчик в сфере профессиональной коммуникации,2020
12764,Английский язык с элементами делового и профессионального общения,2020
14023,Иностранные языки в сфере международных отношений,2022
13152,Иностранные языки в сфере международных отношений,2021
12226,Иностранные языки в сфере международных отношений,2020
14052,Иностранные языки и межкультурная коммуникация в сфере туризма и экскурсионной деятельности,2022
13174,Иностранные языки и межкультурная коммуникация в сфере туризма и экскурсионной деятельности,2021
11841,Иностранные языки и межкультурная коммуникация в сфере туризма и экскурсионной деятельности,2020
13217,Межкультурная коммуникация и перевод в нефтегазовом бизнесе,2021
14154,Перевод и деловая коммуникация в атомной энергетике,2022
14130,Перевод и деловая коммуникация в сфере международного права,2022
14020,Правовая защита экономической конкуренции,2022
13246,Правовая защита экономической конкуренции,2021
13013,Геология,2021
14058,Культура народов Азии и Африки (с изучением языков Азии и Африки),2022
13180,Культура народов Азии и Африки (с изучением языков Азии и Африки),2021
12242,Культура народов Азии и Африки (с изучением языков Азии и Африки),2020
14066,Политика и международные отношения стран Азии и Африки (с изучением языков Азии и Африки),2022
13189,Политика и международные отношения стран Азии и Африки (с изучением языков Азии и Африки),2021
12249,Политика и международные отношения стран Азии и Африки (с изучением языков Азии и Африки),2020
14001,"Современный Китай: экономика, политика, общество (с изучением китайского языка)",2022
13135,"Современный Китай: экономика, политика, общество (с изучением китайского языка)",2021
12217,"Современный Китай: экономика, политика, общество (с изучением китайского языка)",2020
14084,Языки народов Азии и Африки,2022
13211,Языки народов Азии и Африки,2021
12261,Языки народов Азии и Африки,2020
12931,Литература народов стран Азии и Африки,2021
12011,Литература народов стран Азии и Африки,2020
12932,Языки народов стран Азии и Африки,2021
12012,Языки народов стран Азии и Африки,2020
10979,Языки народов стран Азии и Африки,2019
12865,Журналистика,2021
11028,Журналистика,2019
12935,Международная журналистика,2021
12017,Международная журналистика,2020
13873,Реклама и связи с общественностью,2022
12866,Реклама и связи с общественностью,2021
11907,Реклама и связи с общественностью,2020
14806,Журналистика для школьников,2022
14807,"Интенсивный курс ""Основы журналистской деятельности""",2022
13308,Переводчик в сфере профессиональной коммуникации,2021
14373,Синхронный и последовательный перевод в деловой коммуникации,2022
13318,Английский язык с элементами делового и профессионального общения,2021
14022,Иностранные языки в практике обучения и коммуникации,2022
13151,Иностранные языки в практике обучения и коммуникации,2021
12225,Иностранные языки в практике обучения и коммуникации,2020
11073,Иностранные языки в практике обучения и коммуникации,2019
14021,Иностранные языки и межкультурная коммуникация в сфере бизнеса и менеджмента,2022
13150,Иностранные языки и межкультурная коммуникация в сфере бизнеса и менеджмента,2021
